model_comparison_condition_key,agent_a_type,scenario_key,persona_key,speech_pattern_key,run_type,tts_engine,asr_engine,asr_beam_size,network_seed,agent_a_audio_persona,agent_b_audio_persona,speech_performance_band,model_param_key,objective_mode,iteration,transfer_tolerance,dialogue_stagnation_limit,model_count,completed_model_count,successful_model_count,model::Qwen2.5-0.5B-Instruct::condition_state,model::Qwen2.5-0.5B-Instruct::task_success,model::Qwen2.5-0.5B-Instruct::route_valid,model::Qwen2.5-0.5B-Instruct::constraint_satisfaction,model::Qwen2.5-0.5B-Instruct::word_error_rate,model::Qwen2.5-0.5B-Instruct::turn_count,model::Qwen2.5-0.5B-Instruct::failure_phase,model::Qwen2.5-0.5B-Instruct::source_run,model::SmolLM2-360M-Instruct::condition_state,model::SmolLM2-360M-Instruct::task_success,model::SmolLM2-360M-Instruct::route_valid,model::SmolLM2-360M-Instruct::constraint_satisfaction,model::SmolLM2-360M-Instruct::word_error_rate,model::SmolLM2-360M-Instruct::turn_count,model::SmolLM2-360M-Instruct::failure_phase,model::SmolLM2-360M-Instruct::source_run,model::TinyLlama-1.1B-Chat-v1.0::condition_state,model::TinyLlama-1.1B-Chat-v1.0::task_success,model::TinyLlama-1.1B-Chat-v1.0::route_valid,model::TinyLlama-1.1B-Chat-v1.0::constraint_satisfaction,model::TinyLlama-1.1B-Chat-v1.0::word_error_rate,model::TinyLlama-1.1B-Chat-v1.0::turn_count,model::TinyLlama-1.1B-Chat-v1.0::failure_phase,model::TinyLlama-1.1B-Chat-v1.0::source_run,model::gemma-2-2b-it::condition_state,model::gemma-2-2b-it::task_success,model::gemma-2-2b-it::route_valid,model::gemma-2-2b-it::constraint_satisfaction,model::gemma-2-2b-it::word_error_rate,model::gemma-2-2b-it::turn_count,model::gemma-2-2b-it::failure_phase,model::gemma-2-2b-it::source_run,model::Phi-3-mini-4k-instruct::condition_state,model::Phi-3-mini-4k-instruct::task_success,model::Phi-3-mini-4k-instruct::route_valid,model::Phi-3-mini-4k-instruct::constraint_satisfaction,model::Phi-3-mini-4k-instruct::word_error_rate,model::Phi-3-mini-4k-instruct::turn_count,model::Phi-3-mini-4k-instruct::failure_phase,model::Phi-3-mini-4k-instruct::source_run,model::Qwen2.5-1.5B-Instruct::condition_state,model::Qwen2.5-1.5B-Instruct::task_success,model::Qwen2.5-1.5B-Instruct::route_valid,model::Qwen2.5-1.5B-Instruct::constraint_satisfaction,model::Qwen2.5-1.5B-Instruct::word_error_rate,model::Qwen2.5-1.5B-Instruct::turn_count,model::Qwen2.5-1.5B-Instruct::failure_phase,model::Qwen2.5-1.5B-Instruct::source_run,model::Qwen3-4B-Instruct-2507::condition_state,model::Qwen3-4B-Instruct-2507::task_success,model::Qwen3-4B-Instruct-2507::route_valid,model::Qwen3-4B-Instruct-2507::constraint_satisfaction,model::Qwen3-4B-Instruct-2507::word_error_rate,model::Qwen3-4B-Instruct-2507::turn_count,model::Qwen3-4B-Instruct-2507::failure_phase,model::Qwen3-4B-Instruct-2507::source_run,model::Mistral-7B-Instruct-v0.3::condition_state,model::Mistral-7B-Instruct-v0.3::task_success,model::Mistral-7B-Instruct-v0.3::route_valid,model::Mistral-7B-Instruct-v0.3::constraint_satisfaction,model::Mistral-7B-Instruct-v0.3::word_error_rate,model::Mistral-7B-Instruct-v0.3::turn_count,model::Mistral-7B-Instruct-v0.3::failure_phase,model::Mistral-7B-Instruct-v0.3::source_run,model::Qwen2.5-7B-Instruct::condition_state,model::Qwen2.5-7B-Instruct::task_success,model::Qwen2.5-7B-Instruct::route_valid,model::Qwen2.5-7B-Instruct::constraint_satisfaction,model::Qwen2.5-7B-Instruct::word_error_rate,model::Qwen2.5-7B-Instruct::turn_count,model::Qwen2.5-7B-Instruct::failure_phase,model::Qwen2.5-7B-Instruct::source_run
MC-415eac5492fe,userlm,morning_peak_cross_city,delay_sensitive_traveler,hesitant,text_only,piper,faster_whisper,6,123,degraded_caller,degraded_operator,challenging,greedy,shortest_valid_route_with_constraints,0,,,5,1,1,interrupted,,,,,,NameError,20260712_211336_b-n0001_02,,,,,,,,,interrupted,,,,,,NameError,20260712_202947_b-n0001,,,,,,,,,interrupted,,,,,,NameError,20260712_200913_b-n0001,completed,True,True,1.0,,11.0,,20260713_024309_b-n0001,,,,,,,,,,,,,,,,,interrupted,,,,,,NameError,20260712_181333_b-n0001
MC-41d0878d371d,userlm,morning_peak_cross_city,multi_stop_errand_runner,clean,text_only,piper,faster_whisper,16,123,high_clarity_caller,high_clarity_operator,ceiling,temp0.7,shortest_valid_route_with_constraints,0,,,5,1,0,interrupted,,,,,,NameError,20260712_212340_b-n0001,,,,,,,,,interrupted,,,,,,NameError,20260712_203823_b-n0001,,,,,,,,,interrupted,,,,,,NameError,20260712_201739_b-n0001,completed,False,True,1.0,,8.0,,20260713_031940_b-n0001,,,,,,,,,,,,,,,,,interrupted,,,,,,NameError,20260712_181334_b-n0001
MC-42ded2ac2fbb,userlm,late_event,verbose_planner,hesitant,audio_variant,piper,faster_whisper,1,29,hesitant_caller,clear_operator,custom,greedy,shortest_valid_route_with_constraints,0,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_started,,,,,,,20260706_052215_b-n0026,not_started,,,,,,,20260708_130523_b-n0026,,,,,,,,,,,,,,,,,,,,,,,,
MC-47694b6863dd,userlm,midday_transfer,accessibility_rider,mostly_clean,text_only,piper,faster_whisper,11,42,neutral_caller,clear_operator,nominal,greedy,shortest_valid_route_with_constraints,0,,,5,1,0,interrupted,,,,,,NameError,20260712_211332_b-n0001,,,,,,,,,interrupted,,,,,,NameError,20260712_202547_b-n0001,,,,,,,,,interrupted,,,,,,NameError,20260712_200704_b-n0001,completed,False,True,1.0,,8.0,,20260713_042833_b-n0001,,,,,,,,,,,,,,,,,interrupted,,,,,,NameError,20260712_182107_b-n0001
MC-477ce0a0de62,userlm,morning_peak_cross_city,delay_sensitive_traveler,clean,text_only,piper,vosk,16,42,high_clarity_caller,high_clarity_operator,ceiling,greedy,shortest_valid_route_with_constraints,0,,,6,4,4,completed,True,True,1.0,,11.0,,20260710_201202_b-n0001,,,,,,,,,completed,True,True,1.0,,11.0,,20260710_233828_b-n0001,,,,,,,,,completed,True,True,1.0,,11.0,,20260711_180341_b-n0001,completed,True,True,1.0,,11.0,,20260713_072503_b-n0001,,,,,,,,,not_started,,,,,,,20260712_135305_b-n0001,interrupted,,,,,,NameError,20260712_180145_b-n0001
MC-48d46b26d8ab,userlm,multi_destination_errands,focused_commuter,clean,text_only,piper,faster_whisper,16,42,high_clarity_caller,high_clarity_operator,ceiling,greedy,shortest_valid_route_with_constraints,0,,,5,0,0,not_started,,,,,,,20260713_211445_b-n0001,,,,,,,,,not_started,,,,,,,20260713_211442_b-n0001,,,,,,,,,not_started,,,,,,,20260713_211559_b-n0001,not_started,,,,,,,20260713_211518_b-n0001,,,,,,,,,,,,,,,,,not_started,,,,,,,20260713_211556_b-n0001_02
MC-49b7cc56e483,userlm,multi_destination_errands,focused_commuter,clean,audio_variant,piper,faster_whisper,16,42,high_clarity_caller,high_clarity_operator,ceiling,greedy,shortest_valid_route_with_constraints,0,,,5,0,0,not_started,,,,,,,20260713_211517_b-n0001,,,,,,,,,not_started,,,,,,,20260713_211512_b-n0001,,,,,,,,,not_started,,,,,,,20260713_211627_b-n0001,not_started,,,,,,,20260713_211558_b-n0001,,,,,,,,,,,,,,,,,not_started,,,,,,,20260713_211627_b-n0001
MC-4ab078772adb,userlm,multi_destination_errands,risk_averse_novice,severe_channel,audio_variant,piper,faster_whisper,1,42,barely_understandable_caller,barely_understandable_operator,floor,greedy,shortest_valid_route_with_constraints,0,,,5,0,0,not_started,,,,,,,20260713_211723_b-n0001,,,,,,,,,not_started,,,,,,,20260713_211718_b-n0001,,,,,,,,,not_started,,,,,,,20260713_213626_b-n0001,not_started,,,,,,,20260713_211742_b-n0001,,,,,,,,,,,,,,,,,not_started,,,,,,,20260713_211831_b-n0001
MC-4bb3cd7fa138,userlm,midday_transfer,distracted_multitasker,noisy_station,text_only,piper,faster_whisper,1,29,hesitant_caller,clear_operator,custom,greedy,shortest_valid_route_with_constraints,0,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_started,,,,,,,20260706_052215_b-n0026,not_started,,,,,,,20260708_130523_b-n0026,,,,,,,,,,,,,,,,,,,,,,,,
MC-50b0938a59c9,userlm,midday_transfer,crowd_averse_rider,mostly_clean,text_only,piper,vosk,11,77,neutral_caller,clear_operator,nominal,temp0.7,shortest_valid_route_with_constraints,0,,,6,5,5,completed,True,True,1.0,,9.0,,20260710_210239_b-n0001,,,,,,,,,completed,True,True,1.0,,9.0,,20260710_232126_b-n0001_02,,,,,,,,,completed,True,True,1.0,,9.0,,20260711_170200_b-n0001,completed,True,True,1.0,,9.0,,20260713_032731_b-n0001,,,,,,,,,not_started,,,,,,,20260712_132455_b-n0001,completed,True,True,1.0,,9.0,,20260713_042927_b-n0001
MC-50f4b38d223e,userlm,morning_peak_cross_city,focused_commuter,noisy_station,audio_variant,piper,faster_whisper,1,42,high_clarity_caller,degraded_operator,custom,greedy,shortest_valid_route_with_constraints,0,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_started,,,,,,,20260706_052215_b-n0026,not_started,,,,,,,20260708_130523_b-n0026,,,,,,,,,,,,,,,,,,,,,,,,
MC-51476e551ae5,userlm,morning_peak_cross_city,focused_commuter,hesitant,audio_variant,piper,vosk,6,42,degraded_caller,degraded_operator,challenging,greedy,shortest_valid_route_with_constraints,0,,,6,4,2,completed,True,True,1.0,,20.0,,20260710_205637_b-n0001,,,,,,,,,completed,False,True,1.0,,17.0,,20260711_004234_b-n0001,,,,,,,,,completed,False,True,,,20.0,,20260711_182744_b-n0001,completed,True,True,1.0,,20.0,,20260713_060437_b-n0001,,,,,,,,,not_started,,,,,,,20260712_134000_b-n0001,interrupted,,,,,,NameError,20260712_174335_b-n0001
MC-5584b57554ce,userlm,late_event,verbose_planner,noisy_station,text_only,piper,faster_whisper,6,42,high_clarity_caller,clear_operator,custom,greedy,shortest_valid_route_with_constraints,0,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_started,,,,,,,20260706_052215_b-n0026,not_started,,,,,,,20260708_130523_b-n0026,,,,,,,,,,,,,,,,,,,,,,,,
MC-56cacd79258b,userlm,late_event,accessibility_rider,clean,text_only,piper,faster_whisper,16,42,high_clarity_caller,high_clarity_operator,ceiling,greedy,shortest_valid_route_with_constraints,0,,,5,0,0,not_started,,,,,,,20260713_211034_b-n0001_02,,,,,,,,,not_started,,,,,,,20260713_211034_b-n0001_02,,,,,,,,,not_started,,,,,,,20260713_211046_b-n0001,not_started,,,,,,,20260713_211049_b-n0001,,,,,,,,,,,,,,,,,not_started,,,,,,,20260713_211034_b-n0001_04
MC-57d6ea88dbf8,userlm,airport_connection,risk_averse_novice,severe_channel,text_only,piper,vosk,1,77,barely_understandable_caller,barely_understandable_operator,floor,greedy,shortest_valid_route_with_constraints,0,,,5,0,0,interrupted,,,,,,ValueError,20260710_204306_b-n0001,,,,,,,,,interrupted,,,,,,ValueError,20260710_225052_b-n0001,,,,,,,,,interrupted,,,,,,ValueError,20260711_170932_b-n0001,not_started,,,,,,,20260713_211550_b-n0001,,,,,,,,,,,,,,,,,not_started,,,,,,,20260713_211517_b-n0001_02
MC-583812e597af,userlm,crowded_event_exit,focused_commuter,clean,text_only,piper,faster_whisper,16,42,high_clarity_caller,high_clarity_operator,ceiling,greedy,shortest_valid_route_with_constraints,0,,,5,0,0,not_started,,,,,,,20260713_215439_b-n0001,,,,,,,,,not_started,,,,,,,20260713_215945_b-n0001,,,,,,,,,not_started,,,,,,,20260713_231858_b-n0001,not_started,,,,,,,20260713_214335_b-n0001,,,,,,,,,,,,,,,,,not_started,,,,,,,20260713_234652_b-n0001
MC-5a4ce0dcb1cd,userlm,late_event,crowd_averse_rider,severe_channel,text_only,piper,faster_whisper,1,77,barely_understandable_caller,barely_understandable_operator,floor,greedy,shortest_valid_route_with_constraints,0,,,5,0,0,not_started,,,,,,,20260713_211850_b-n0001,,,,,,,,,not_started,,,,,,,20260713_212003_b-n0001,,,,,,,,,not_started,,,,,,,20260713_212054_b-n0001,not_started,,,,,,,20260713_212028_b-n0001,,,,,,,,,,,,,,,,,not_started,,,,,,,20260713_212014_b-n0001
MC-5b5951c7d160,userlm,late_event,accessibility_rider,clean,audio_variant,piper,faster_whisper,16,42,high_clarity_caller,high_clarity_operator,ceiling,greedy,shortest_valid_route_with_constraints,0,,,5,0,0,not_started,,,,,,,20260713_211106_b-n0001,,,,,,,,,not_started,,,,,,,20260713_211105_b-n0001,,,,,,,,,not_started,,,,,,,20260713_211141_b-n0001_02,not_started,,,,,,,20260713_211129_b-n0001_02,,,,,,,,,,,,,,,,,not_started,,,,,,,20260713_211145_b-n0001_03
MC-5e1e7a00d888,userlm,midday_transfer,distracted_multitasker,hesitant,text_only,piper,faster_whisper,1,42,high_clarity_caller,clear_operator,custom,greedy,shortest_valid_route_with_constraints,0,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_started,,,,,,,20260706_052215_b-n0026,not_started,,,,,,,20260708_130523_b-n0026,,,,,,,,,,,,,,,,,,,,,,,,
MC-5f1b811df565,userlm,hospital_appointment,multi_stop_errand_runner,clean,text_only,piper,faster_whisper,16,42,high_clarity_caller,high_clarity_operator,ceiling,greedy,shortest_valid_route_with_constraints,0,,,5,5,5,completed,True,True,1.0,,11.0,,20260713_130331_b-n0001,,,,,,,,,completed,True,True,1.0,,11.0,,20260713_125545_b-n0001,,,,,,,,,completed,True,True,1.0,,11.0,,20260713_130553_b-n0001,completed,True,True,1.0,,11.0,,20260713_124435_b-n0001,,,,,,,,,,,,,,,,,completed,True,True,1.0,,11.0,,20260713_125744_b-n0001
MC-5fff8784a6e8,userlm,hospital_appointment,focused_commuter,hesitant,text_only,piper,faster_whisper,6,42,degraded_caller,degraded_operator,challenging,greedy,shortest_valid_route_with_constraints,0,,,5,5,0,completed,False,True,1.0,,8.0,,20260713_121722_b-n0001,,,,,,,,,completed,False,True,1.0,,8.0,,20260713_121101_b-n0001,,,,,,,,,completed,False,True,1.0,,8.0,,20260713_121453_b-n0001,completed,False,True,1.0,,8.0,,20260713_120828_b-n0001,,,,,,,,,,,,,,,,,completed,False,True,1.0,,8.0,,20260713_121112_b-n0001
MC-626d7f82e977,tinyllama,morning_peak_cross_city,focused_commuter,severe_channel,text_only,piper,vosk,1,42,barely_understandable_caller,barely_understandable_operator,floor,greedy,shortest_valid_route_with_constraints,0,,,5,0,0,,,,,,,,,,,,,,,,,not_started,,,,,,,20260707_165604_b-n0001,not_started,,,,,,,20260707_164733_b-n0001,not_started,,,,,,,20260707_164832_b-n0001,not_started,,,,,,,20260707_164232_b-n0001,not_started,,,,,,,20260707_164932_b-n0001,,,,,,,,,,,,,,,,
MC-62b16fc0b8f0,userlm,morning_peak_cross_city,delay_sensitive_traveler,severe_channel,audio_variant,piper,vosk,1,42,barely_understandable_caller,barely_understandable_operator,floor,greedy,shortest_valid_route_with_constraints,0,,,6,4,0,completed,False,False,,,17.0,,20260710_205937_b-n0001,,,,,,,,,completed,False,False,,,5.0,,20260711_003303_b-n0001,,,,,,,,,completed,False,False,,,5.0,,20260711_190720_b-n0001,completed,False,False,,,5.0,,20260713_081149_b-n0001,,,,,,,,,not_started,,,,,,,20260712_135606_b-n0001,interrupted,,,,,,NameError,20260712_180145_b-n0001_02
MC-6391d75720a3,userlm,crowded_event_exit,crowd_averse_rider,clean,text_only,piper,faster_whisper,16,42,high_clarity_caller,high_clarity_operator,ceiling,temp0.7,shortest_valid_route_with_constraints,0,,,5,0,0,not_started,,,,,,,20260713_211750_b-n0001,,,,,,,,,not_started,,,,,,,20260713_211859_b-n0001,,,,,,,,,not_started,,,,,,,20260713_211959_b-n0001,not_started,,,,,,,20260713_211922_b-n0001,,,,,,,,,,,,,,,,,not_started,,,,,,,20260713_211912_b-n0001
MC-6672f0df7fd4,userlm,midday_transfer,crowd_averse_rider,severe_channel,text_only,piper,faster_whisper,1,123,barely_understandable_caller,barely_understandable_operator,floor,greedy,shortest_valid_route_with_constraints,0,,,5,0,0,not_started,,,,,,,20260713_211244_b-n0001,,,,,,,,,not_started,,,,,,,20260713_211314_b-n0001_02,,,,,,,,,not_started,,,,,,,20260713_211335_b-n0001,not_started,,,,,,,20260713_211316_b-n0001,,,,,,,,,,,,,,,,,not_started,,,,,,,20260713_211332_b-n0001
MC-67a9a56c74f3,userlm,airport_connection,focused_commuter,clean,audio_variant,piper,faster_whisper,16,77,high_clarity_caller,high_clarity_operator,ceiling,greedy,shortest_valid_route_with_constraints,0,,,5,0,0,interrupted,,,,,,ValueError,20260710_201633_b-n0001,,,,,,,,,interrupted,,,,,,ValueError,20260710_222449_b-n0001_02,,,,,,,,,interrupted,,,,,,ValueError,20260711_163726_b-n0001,not_started,,,,,,,20260713_211355_b-n0001,,,,,,,,,,,,,,,,,not_started,,,,,,,20260713_211345_b-n0001
MC-68d7c31574f4,userlm,morning_peak_cross_city,delay_sensitive_traveler,hesitant,audio_variant,piper,faster_whisper,6,123,degraded_caller,degraded_operator,challenging,greedy,shortest_valid_route_with_constraints,0,,,5,1,1,interrupted,,,,,,NameError,20260712_211607_b-n0001_02,,,,,,,,,interrupted,,,,,,NameError,20260712_203219_b-n0001,,,,,,,,,interrupted,,,,,,NameError,20260712_201136_b-n0001,completed,True,True,1.0,,11.0,,20260713_025118_b-n0001,,,,,,,,,,,,,,,,,interrupted,,,,,,NameError,20260712_181607_b-n0001
MC-6c085e5c669d,userlm,morning_peak_cross_city,focused_commuter,clean,text_only,piper,faster_whisper,1,29,high_clarity_caller,clear_operator,custom,greedy,shortest_valid_route_with_constraints,0,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_started,,,,,,,20260706_052215_b-n0026,not_started,,,,,,,20260708_130523_b-n0026,,,,,,,,,,,,,,,,,,,,,,,,
MC-6da3898cb0f6,userlm,crowded_event_exit,multi_stop_errand_runner,severe_channel,text_only,piper,faster_whisper,1,42,barely_understandable_caller,barely_understandable_operator,floor,greedy,shortest_valid_route_with_constraints,0,,,5,1,0,interrupted,,,,,,NameError,20260712_213110_b-n0001,,,,,,,,,interrupted,,,,,,NameError,20260712_204425_b-n0001_03,,,,,,,,,interrupted,,,,,,NameError,20260712_202945_b-n0001,completed,False,True,1.0,,16.0,,20260713_070010_b-n0001,,,,,,,,,,,,,,,,,interrupted,,,,,,NameError,20260712_183343_b-n0001
MC-6ec8ff6478fb,userlm,midday_transfer,focused_commuter,hesitant,text_only,piper,faster_whisper,6,42,degraded_caller,degraded_operator,challenging,temp0.7,shortest_valid_route_with_constraints,0,,,5,1,0,interrupted,,,,,,NameError,20260712_211336_b-n0001,,,,,,,,,interrupted,,,,,,NameError,20260712_202748_b-n0001_03,,,,,,,,,interrupted,,,,,,NameError,20260712_200818_b-n0001,completed,False,True,1.0,,13.0,,20260713_033208_b-n0001,,,,,,,,,,,,,,,,,interrupted,,,,,,NameError,20260712_181835_b-n0001_03
MC-7183d7415c82,userlm,morning_peak_cross_city,risk_averse_novice,severe_channel,audio_variant,piper,faster_whisper,1,77,barely_understandable_caller,barely_understandable_operator,floor,greedy,shortest_valid_route_with_constraints,0,,,5,0,0,interrupted,,,,,,ValueError,20260710_203835_b-n0001,,,,,,,,,interrupted,,,,,,ValueError,20260710_225453_b-n0001,,,,,,,,,interrupted,,,,,,ValueError,20260711_162955_b-n0001,not_started,,,,,,,20260713_211245_b-n0001,,,,,,,,,,,,,,,,,not_started,,,,,,,20260713_211245_b-n0001
MC-72d88624b746,userlm,morning_peak_cross_city,crowd_averse_rider,hesitant,audio_variant,piper,vosk,6,42,degraded_caller,degraded_operator,challenging,greedy,shortest_valid_route_with_constraints,0,,,6,4,1,completed,False,True,1.0,,20.0,,20260710_215015_b-n0001_02,,,,,,,,,completed,False,True,0.0,,20.0,,20260711_014510_b-n0001,,,,,,,,,completed,False,True,1.0,,20.0,,20260711_193924_b-n0001,completed,True,True,1.0,,13.0,,20260713_065821_b-n0001,,,,,,,,,not_started,,,,,,,20260712_134836_b-n0001,interrupted,,,,,,NameError,20260712_175543_b-n0001
MC-7349b7d78466,userlm,crowded_event_exit,delay_sensitive_traveler,hesitant,audio_variant,piper,faster_whisper,6,77,degraded_caller,degraded_operator,challenging,nucleus0.9,shortest_valid_route_with_constraints,0,,,6,5,5,completed,True,True,1.0,,9.0,,20260710_195601_b-n0001_02,,,,,,,,,completed,True,True,1.0,,11.0,,20260710_232827_b-n0001,,,,,,,,,completed,True,True,1.0,,13.0,,20260711_171332_b-n0001_02,completed,True,True,1.0,,9.0,,20260713_051250_b-n0001,,,,,,,,,not_started,,,,,,,20260712_133529_b-n0001,completed,True,True,1.0,,11.0,,20260713_073602_b-n0001
MC-74eca119a757,userlm,morning_peak_cross_city,crowd_averse_rider,hesitant,text_only,piper,vosk,6,42,degraded_caller,degraded_operator,challenging,greedy,shortest_valid_route_with_constraints,0,,,6,4,4,completed,True,True,1.0,,9.0,,20260710_214113_b-n0001,,,,,,,,,completed,True,True,1.0,,9.0,,20260711_013438_b-n0001,,,,,,,,,completed,True,True,1.0,,9.0,,20260711_192722_b-n0001,completed,True,True,1.0,,9.0,,20260713_064944_b-n0001,,,,,,,,,not_started,,,,,,,20260712_134705_b-n0001,interrupted,,,,,,NameError,20260712_175341_b-n0001
MC-753c20a29fcc,userlm,multi_destination_errands,multi_stop_errand_runner,clean,text_only,piper,faster_whisper,16,42,high_clarity_caller,high_clarity_operator,ceiling,greedy,shortest_valid_route_with_constraints,0,,,5,0,0,not_started,,,,,,,20260713_211855_b-n0001,,,,,,,,,not_started,,,,,,,20260713_211848_b-n0001,,,,,,,,,not_started,,,,,,,20260713_213831_b-n0001,not_started,,,,,,,20260713_211921_b-n0001,,,,,,,,,,,,,,,,,not_started,,,,,,,20260713_212001_b-n0001
MC-783cb261f5aa,userlm,midday_transfer,distracted_multitasker,hesitant,audio_variant,piper,faster_whisper,1,42,high_clarity_caller,clear_operator,custom,greedy,shortest_valid_route_with_constraints,0,,,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_started,,,,,,,20260706_052215_b-n0026,not_started,,,,,,,20260708_130523_b-n0026,,,,,,,,,,,,,,,,,,,,,,,,
MC-7a21f1632980,userlm,airport_connection,delay_sensitive_traveler,hesitant,audio_variant,piper,faster_whisper,6,77,degraded_caller,degraded_operator,challenging,greedy,shortest_valid_route_with_constraints,0,,,5,0,0,interrupted,,,,,,ValueError,20260710_204107_b-n0001,,,,,,,,,interrupted,,,,,,ValueError,20260710_224952_b-n0001,,,,,,,,,interrupted,,,,,,ValueError,20260711_170831_b-n0001,not_started,,,,,,,20260713_211510_b-n0001,,,,,,,,,,,,,,,,,not_started,,,,,,,20260713_211446_b-n0001
MC-7b1e93f822d6,userlm,multi_destination_errands,delay_sensitive_traveler,hesitant,audio_variant,piper,faster_whisper,6,123,degraded_caller,degraded_operator,challenging,greedy,shortest_valid_route_with_constraints,0,,,5,5,0,completed,False,True,,,13.0,,20260713_133109_b-n0001,,,,,,,,,completed,False,True,,,9.0,,20260713_133328_b-n0001,,,,,,,,,completed,False,True,,,11.0,,20260713_211753_b-n0001,completed,False,True,,,11.0,,20260713_131134_b-n0001,,,,,,,,,,,,,,,,,completed,False,True,,,11.0,,20260713_133001_b-n0001
MC-7b70da74d8c2,userlm,multi_destination_errands,accessibility_rider,clean,text_only,piper,faster_whisper,16,42,high_clarity_caller,high_clarity_operator,ceiling,greedy,shortest_valid_route_with_constraints,0,,,5,0,0,not_started,,,,,,,20260713_211753_b-n0001,,,,,,,,,not_started,,,,,,,20260713_211748_b-n0001,,,,,,,,,not_started,,,,,,,20260713_213706_b-n0001,not_started,,,,,,,20260713_211812_b-n0001,,,,,,,,,,,,,,,,,not_started,,,,,,,20260713_211901_b-n0001
MC-7c3b9f13519e,userlm,crowded_event_exit,delay_sensitive_traveler,hesitant,text_only,piper,faster_whisper,6,77,degraded_caller,degraded_operator,challenging,nucleus0.9,shortest_valid_route_with_constraints,0,,,6,5,5,completed,True,True,1.0,,9.0,,20260711_195856_b-n0001,,,,,,,,,completed,True,True,1.0,,9.0,,20260710_231726_b-n0001,,,,,,,,,completed,True,True,1.0,,9.0,,20260711_170200_b-n0001_02,completed,True,True,1.0,,9.0,,20260713_050359_b-n0001,,,,,,,,,not_started,,,,,,,20260712_133359_b-n0001,completed,True,True,1.0,,9.0,,20260713_072024_b-n0001
MC-7fe9a603a1e7,userlm,airport_connection,crowd_averse_rider,hesitant,text_only,piper,faster_whisper,6,42,degraded_caller,degraded_operator,challenging,greedy,shortest_valid_route_with_constraints,0,,,5,1,1,interrupted,,,,,,NameError,20260712_212338_b-n0001,,,,,,,,,interrupted,,,,,,NameError,20260712_203816_b-n0001,,,,,,,,,interrupted,,,,,,NameError,20260712_201639_b-n0001,completed,True,True,1.0,,11.0,,20260713_050600_b-n0001,,,,,,,,,,,,,,,,,interrupted,,,,,,NameError,20260712_182842_b-n0001
MC-808aa240c291,userlm,midday_transfer,risk_averse_novice,severe_channel,text_only,piper,vosk,1,42,barely_understandable_caller,barely_understandable_operator,floor,temp0.7,shortest_valid_route_with_constraints,0,,,6,5,0,completed,False,True,1.0,,11.0,,20260710_195541_b-n0001_02,,,,,,,,,completed,False,True,1.0,,11.0,,20260710_220448_b-n0001,,,,,,,,,completed,False,True,1.0,,11.0,,20260711_161752_b-n0001,completed,False,True,1.0,,11.0,,20260713_040619_b-n0001,,,,,,,,,not_started,,,,,,,20260712_132856_b-n0001,completed,False,True,1.0,,11.0,,20260713_054207_b-n0001
MC-8151001a45c6,userlm,crowded_event_exit,risk_averse_novice,hesitant,text_only,piper,faster_whisper,6,77,degraded_caller,degraded_operator,challenging,greedy,shortest_valid_route_with_constraints,0,,,5,1,1,interrupted,,,,,,NameError,20260712_212739_b-n0001,,,,,,,,,interrupted,,,,,,NameError,20260712_204826_b-n0001_03,,,,,,,,,interrupted,,,,,,NameError,20260712_202917_b-n0001,completed,True,True,1.0,,9.0,,20260713_062006_b-n0001,,,,,,,,,,,,,,,,,interrupted,,,,,,NameError,20260712_182610_b-n0001
MC-821b7f9b35a1,userlm,airport_connection,delay_sensitive_traveler,mostly_clean,text_only,piper,faster_whisper,11,123,neutral_caller,clear_operator,nominal,temp0.7,shortest_valid_route_with_constraints,0,,,5,1,1,interrupted,,,,,,NameError,20260712_212841_b-n0001,,,,,,,,,interrupted,,,,,,NameError,20260712_204224_b-n0001,,,,,,,,,interrupted,,,,,,NameError,20260712_202041_b-n0001,completed,True,True,1.0,,9.0,,20260713_052243_b-n0001,,,,,,,,,,,,,,,,,interrupted,,,,,,NameError,20260712_182337_b-n0001_02
MC-83e6aa9e2468,userlm,late_event,crowd_averse_rider,severe_channel,audio_variant,piper,faster_whisper,1,77,barely_understandable_caller,barely_understandable_operator,floor,greedy,shortest_valid_route_with_constraints,0,,,5,0,0,not_started,,,,,,,20260713_211917_b-n0001,,,,,,,,,not_started,,,,,,,20260713_212035_b-n0001,,,,,,,,,not_started,,,,,,,20260713_212123_b-n0001,not_started,,,,,,,20260713_212102_b-n0001,,,,,,,,,,,,,,,,,not_started,,,,,,,20260713_212045_b-n0001
